Key,Id,Chinese (Simplified)(zh-Hans),English(en),French(fr),German(de),Italian(it),Japanese(ja),Korean(ko),Polish(pl),Portuguese (Brazil)(pt-BR),Russian(ru),Spanish(es),Turkish(tr)
"Dialog.Cengiz_3_2_2",4416978833408,"哥们，我真不知道他在这，你在说啥？","DUDE I DID NOT KNOW HE WAS HERE, WHAT THE HELL ARE YOU TALKING ABOUT?","MEC, J’SAVAIS PAS QU’IL ÉTAIT LÀ, C’EST QUOI TON DÉLIRE ?","ALTER, ICH WUSSTE NICHT, DASS ER HIER IST, WAS LABERST DU DA?","FRATELLO, NON SAPEVO CHE ERA QUI, DI CHE CAZZO PARLI?","いやマジで知らねぇよ、何言ってんだお前？","야, 나 진짜 몰랐어. 무슨 헛소리 하는 거야?","STARY, NIE WIEDZIAŁEM, ŻE TU JEST. CO TY GADASZ?","MEU, EU NEM SABIA QUE ELE TAVA AQUI. TÁ FALANDO O QUÊ?","ЧУВАК, Я ПОНЯТИЯ НЕ ИМЕЛ, ЧТО ОН ТУТ. ТЫ ЧЁ НЕСЁШЬ?","AMIGO, YO NO SABÍA QUE ÉL ESTABA AQUÍ. ¿DE QUÉ MIERDA HABLAS?","KOÇUM, BEN HAKİKATEN BİLMİYORDUM BURADA OLDUĞUNU. NE ZIRVALIYORSUN?"
"Dialog.Jurino_3_2_2",4552106725376,"看吧，他根本不知道，哈哈哈哈","SEE, HE DID NOT KNOW, HAHAHAHA","VOIS, IL NE SAVAIT PAS, HAHAHAHA","SIEHSTE, ER WUSSTE ES NICHT, HAHAHAHA","VEDI? NON LO SAPEVA, AHAHAHAHA","だろ？知らなかったんだよ、ははははは。","봤지? 얘 진짜 몰랐잖아, 하하하하.","NO WIDZISZ? NIE WIEDZIAŁ, HAHAHAHA.","VIU? ELE NÃO SABIA, HAHAHAHA.","ВИДИШЬ? ОН НЕ ЗНАЛ, ХАХАХАХА.","¿VES? NO SABÍA, JAJAJAJA.","GÖRDÜN MÜ? HİÇ HABERİ YOKMUŞ, HAHAHAHA."
"Dialog.Hulagu_3_2_2",4669010366464,"听好了，你这小杂碎，我们来是为了封住你的嘴。我们知道你在这，还希望其他部分也都在。","LOOK HERE YOU LITTLE PIECE OF CRAB, WE CAME HERE TO SHUT YOUR MOUTH. WE KNEW IT WAS HERE AND HOPED THE REST IS ATTACHED TO IT.","ÉCOUTE-MOI BIEN, PETITE MERDE, ON EST VENUS POUR TE FERMER TA GUEULE. ON SAVAIT QUE TA BOUCHE ÉTAIT LÀ ET ON ESPÉRAIT QUE LE RESTE SUIVAIT.","HÖR ZU, DU KLEINES DRECKSTÜCK, WIR SIND HIER, UM DIR DIE FRESSE ZU STOPFEN. WIR WUSSTEN, DASS DEIN MAUL HIER IST UND HOFFTEN, DASS DER REST DRANHÄNGT.","ASCOLTA, PEZZO DI MERDA, SIAMO VENUTI PER CHIUDERTI LA BOCCA. SAPEVAMO CHE ERA QUI E SPERAVAMO CHE IL RESTO FOSSE ATTACCATO.","聞けよクソガキ。黙らせに来たんだよ。口がここにあるのは知ってたし、残りも付いてりゃいいと思ってな。","잘 들어, 이 개찌꺼기야. 네 입 여길로 왔다는 건 알고 있었고, 나머지도 붙어 있길 바랐다.","SŁUCHAJ UWAŻNIE, GÓWNIARZU. PRZYSZLIŚMY TU, ŻEBY ZAMKNĄĆ CI PYSK. WIEDZIELIŚMY, ŻE TWOJA MORDa JEST TUTAJ I LICZYLIŚMY, ŻE RESZTA TEŻ SIĘ DOCZEPI.","OUVE AQUI, SEU LIXO. A GENTE VEIO PRA CALAR TUA BOCA. A GENTE SABIA QUE TUA BOCA TAVA AQUI E TORCIA PRA QUE O RESTO TAMBÉM ESTIVESSE.","СЛУШАЙ СЮДА, МАЛЫЙ УБЛЮДОК. МЫ ПРИШЛИ ЗАТКНУТЬ ТЕБЯ. МЫ ЗНАЛИ, ЧТО ТВОЙ РОТ ЗДЕСЬ, И НАДЕЯЛИСЬ, ЧТО ОСТАЛЬНОЕ ТОЖЕ ПРИ НЁМ.","ESCUCHA BIEN, PEDAZO DE MIERDA. VINIMOS A CERRARTE LA BOCA. SABÍAMOS QUE TU BOCA ESTABA AQUÍ Y ESPERÁBAMOS QUE LO DEMÁS VINIERA PEGADO.","BENİ DİNLE SENİ KÜÇÜK BOK. AĞZINI KAPATMAYA GELDİK. AĞZININ BURADA OLDUĞUNU BİLİYORDUK, GERİSİ DE BERABERİNDE GELİR DİYE UMUYORDUK."
"Dialog.Cengiz_3_2_3",5575118442496,"我马上解决他。","I'M GONNA FIX THAT REAL QUICK.","ÇA, JE VAIS LE RÉGLER VITE FAIT.","ICH MACH DAS GLEICH KLAR.","CI PENSO SUBITO.","今すぐ片付けてやるよ。","지금 바로 정리해줄게.","ZAŁATWIĘ TO OD RAZU.","VOU ARRUMAR ISSO AGORA MESMO.","Я ЭТО СЕЙЧАС ИСПРАВЛЮ.","AHORITA MISMO LO ARREGLO.","HEMEN HALLEDECEĞİM."
"Dialog.Hulagu_3_2_3",5766915575808,"我真是喜欢这孩子，就像我亲生的一样，哈哈哈哈哈。","I LOVE THIS KID LIKE MY OWN, HAAAAHAHAHAHA.","J’ADORE CE GOSSE COMME SI C’ÉTAIT LE MIEN, HAAAAHAHAHAHA.","ICH LIEBE DEN KLEINEN, WIE WÄR’S MEIN EIGENER, HAAAAHAHAHAHA.","ADORO QUESTO RAGAZZO COME FOSSE MIO, HAAAAHAHAHAHA.","こいつほんと好きだわ、自分の息子みてぇにさ。ハハハハハ！","얘 정말 마음에 든다, 내 친아들처럼. 하하하하하!","UWIELBIAM TEGO GNOJA JAK WŁASNEGO, HAAAAHAHAHAHA.","AMO ESSE MOLEQUE COMO SE FOSSE MEU, HAAAAHAHAHAHA.","ЛЮБЛЮ ЭТОГО ПАРНЯ, КАК СОБСТВЕННОГО, ХАААААХАХАХА.","ME ENCANTA ESTE CABRÓN COMO SI FUERA MÍO, JAAJAJAJAJA.","BU VELEDİ KENDİ OĞLUM GİBİ SEVİYORUM, HAHAHAHAHA!"
"Dialog.Cengiz_3_2_4",5877443874816,"哈啊啊啊…","HAAAAAAA…","HAAAAAAA…","HAAAAAAA…","HAAAAAAA…","ハァァァァァ…","하아아아아…","HAAAAAAA…","HAAAAAAA…","ХААААААА…","HAAAAAAA…","HAAAAAAA…"
"Dialog.Jurino_3_3_1",6169400987648,"能突破我的外壳，你有胆面对我的心吗？","STRONG ENOUGH TO PASS MY SHELL, ARE YOU BRAVE ENOUGH TO FACE MY HEART?","ASSEZ FORT POUR PASSER MA CARAPACE… AS-TU ASSEZ DE TRIPES POUR AFFRONTER MON CŒUR ?","STARK GENUG, MEINE HÜLLE ZU BRECHEN… ABER HAST DU DEN MUT, MEIN HERZ ZU FACING?","SEI ABBASTANZA FORTE PER OLTREPASSARE IL MIO GUSCIO… HAI IL CORAGGIO DI AFFRONTARE IL MIO CUORE?","殻を破るほど強ぇのか…なら俺の心臓と向き合う度胸はあるか？","내 껍데기를 뚫을 힘이 있나 보네… 그럼 내 심장도 맞설 배짱은 있냐?","WYSTARCZAJĄCO SILNY, BY PRZEBIĆ MOJĄ POWŁOKĘ… MASZ ODWAGĘ STANĄĆ NAPRZECIW MOJEGO SERCA?","FORTE O BASTANTE PRA PASSAR DA MINHA CASCA… TEM CORAGEM PRA ENCARAR MEU CORAÇÃO?","ДОСТАТОЧНО СИЛЁН, ЧТОБ ПРОБИТЬ МОЮ ОБОЛОЧКУ… А ХВАТИТ ЛИ ТЕБЕ СМЕЛОСТИ СТАТЬ ЛИЦОМ К МОЕМУ СЕРДЦУ?","¿LO SUFICIENTEMENTE FUERTE PARA PASAR MI CAPARAZÓN… TIENES LOS HUEVOS PARA ENFRENTARTE A MI CORAZÓN?","KABUĞUMU AŞACAK KADAR GÜÇLÜSÜN… PEKİ KALBİMLE YÜZLEŞECEK CESARETİN VAR MI?"
"Dialog.Cengiz_3_3_1",6472368148480,"人们信任你去保护这座城市和人民。但看来你并不站在人民这边。我不知道怎么回事，我不知道为什么，但我会找出答案。至于你的心，我会把它从你胸口里撕出来，再从另一处塞回去。","PEOPLE TRUSTED YOU TO CARE FOR THIS CITY AND ITS PEOPLE, BUT IT SEEMS LIKE YOU ARE NOT ON THE PEOPLE’S SIDE. I DON'T KNOW HOW, I DON'T KNOW WHY, BUT I'M GONNA FIND OUT. AND ABOUT YOUR HEART—I WILL RIP IT OUT OF YOUR CHEST AND PUT IT BACK IN THROUGH ANOTHER HOLE.","LES GENS TE FAISAIENT CONFIANCE POUR PROTÉGER CETTE VILLE, MAIS ON DIRAIT QUE T’ES PAS AVEC EUX. JE SAIS PAS COMMENT, JE SAIS PAS POURQUOI, MAIS JE VAIS LE DÉCOUVRIR. ET POUR TON CŒUR… JE VAIS TE L’ARRACHER ET TE LE REMETTRE PAR UN AUTRE TROU.","DIE LEUTE HABEN DIR VERTRAUT, DIESE STADT ZU SCHÜTZEN, ABER SIEHT SO AUS, ALS WÄRST DU NICHT AUF IHRER SEITE. ICH WEISS NICHT WIE, ICH WEISS NICHT WARUM, ABER ICH FINDE ES RAUS. UND WAS DEIN HERZ ANGEHT… ICH REISS ES DIR RAUS UND STOPFE ES DIR DURCH EIN ANDERES LOCH WIEDER REIN.","LA GENTE SI FIDAVA DI TE PER PROTEGGERE QUESTA CITTÀ, MA SEMBRA CHE TU NON STIA DALLA LORO PARTE. NON SO COME, NON SO PERCHÉ, MA LO SCOPRIRÒ. E PER IL TUO CUORE… TE LO STRAPPO DAL PETTO E TE LO INFILO DA UN ALTRO BUCO.","この街と人を守るって皆に信じられてたのに…どうやらお前、そっち側じゃねぇらしいな。理由は知らねぇが、必ず暴いてやる。心臓の方はよ…胸から引きちぎって別の穴から戻してやるよ。","사람들이 너를 믿고 이 도시를 맡겼는데… 보니까 너, halktan yana falan değilsin. 왜인지 몰라도 내가 öğrenirim. 그리고 그 심장 말인데… 가슴에서 뜯어내서 başka bir delikten geri sokarım.","LUDZIE UFALI, ŻE ZADBAJESZ O TO MIASTO I JEGO LUDZI, ALE WYGLĄDA NA TO, ŻE WCALE NIE JESTEŚ PO ICH STRONIE. NIE WIEM JAK, NIE WIEM DLACZEGO, ALE SIĘ DOWIEM. A CO DO TWOJEGO SERCA… WYRWĘ CI JE Z KLATY I WCIŚNĖ Z POWROTEM INNĄ DZIURĄ.","A GENTE CONFIAVA EM VOCÊ PRA CUIDAR DESSA CIDADE E DESSE POVO, MAS PARECE QUE VOCÊ NÃO TÁ DO LADO DELES. NÃO SEI COMO, NÃO SEI POR QUÊ, MAS EU VOU DESCOBRIR. E SOBRE SEU CORAÇÃO… EU ARRANCO ELE DO TEU PEITO E ENFIO DE VOLTA POR OUTRO BURACO.","ЛЮДИ ДОВЕРИЛИ ТЕБЕ ГОРОД И СВОИХ ЛЮДЕЙ, НО, ПОХОДУ, ТЫ ВООБЩЕ НЕ НА ИХ СТОРОНЕ. НЕ ЗНАЮ КАК, НЕ ЗНАЮ ПОЧЕМУ, НО Я ДОБЕРУСЬ ДО ПРАВДЫ. А ТВОЁ СЕРДЦЕ… Я ВЫРВУ ЕГО ИЗ ГРУДИ И ВПИХНУ ОБРАТНО В ДРУГУЮ ДЫРУ.","LA GENTE CONFIABA EN QUE CUIDARAS DE ESTA CIUDAD Y SU GENTE, PERO AL PARECER TÚ NO ESTÁS DE SU LADO. NO SÉ CÓMO NI POR QUÉ, PERO LO VOY A AVERIGUAR. Y SOBRE TU CORAZÓN… TE LO ARRANCO DEL PECHO Y TE LO METO OTRA VEZ POR OTRO AGUJERO.","BU ŞEHRE VE İNSANLARINA SAHİP ÇIKMAN İÇİN SANA GÜVENDİLER… AMA SEN ONLARIN TARAFINDA DEĞİLMİŞSİN. NASIL, NEDEN BİLMEM AMA ÖĞRENECEĞİM. KALBİNE GELİNCE… ONU GÖĞSÜNDEN SÖKÜP BAŞKA BİR DELİKTEN GERİ TAKACAĞIM."
"Dialog.Hulagu_3_3_1",7500341727232,"他说我会像爱亲儿子一样爱你时，我不信。不过如果“Göktengri”再说什么，我这次会信，哈哈哈哈。","WHEN HE TOLD ME I WOULD LOVE YOU LIKE MY OWN SON, I DID NOT BELIEVE HIM. IF “GÖKTENGRI” TELLS SOMETHING AGAIN, I WILL BELIEVE HIM THIS TIME HAAAAHAHAHA.","QUAND IL M’A DIT QUE JE T’AIMERAIS COMME MON PROPRE FILS, JE LE CROYAIS PAS. SI “GÖKTENGRI” DIT ENCORE UN TRUC, CETTE FOIS J’Y CROIS, HAAAAHAHAHA.","ALS ER SAGTE, ICH WÜRDE DICH LIEBEN WIE MEINEN EIGENEN SOHN, HAB ICH IHM NICHT GEGLAUBT. WENN “GÖKTENGRI” NOCH WAS SAGT, GLAUB ICH IHM DIESES MAL, HAAAAHAHAHA.","QUANDO MI DISSE CHE TI AVREI VOLUTO BENE COME A UN FIGLIO MIO, NON CI CREDEVO. SE “GÖKTENGRI” LO DICE DI NUOVO, QUESTA VOLTA CI CREDO, HAAAAHAHAHA.","俺が“実の息子みてぇに愛す”って言われたときは信じなかったがよ…“Göktengri”がまた何か言うなら、今度は信じるわ。ハハハハハ！","얘를 내 친아들처럼 사랑하게 될 거라 했을 때 안 믿었는데… “Göktengri”가 yine bir şey derse bu kez inanırım. 하하하하하!","JAK POWIEDZIAŁ, ŻE POKOCHAM CIĘ JAK WŁASNEGO SYNA, NIE WIERZYŁEM. ALE JAK “GÖKTENGRI” POWIE COŚ JESZCZE RAZ, TYM RAZEM UWIERZĘ, HAAAAHAHAHA.","QUANDO ME DISSERAM QUE EU IA GOSTAR DE VOCÊ COMO UM FILHO, EU NÃO ACREDITEI. MAS SE “GÖKTENGRI” FALAR DE NOVO, DESSA VEZ EU ACREDITO, HAAAAHAHAHA.","КОГДА МНЕ СКАЗАЛИ, ЧТО Я ПОЛЮБЛЮ ТЕБЯ, КАК СВОЕГО СЫНА — Я НЕ ПОВЕРИЛ. НО ЕСЛИ “GÖKTENGRI” СКАЖЕТ ЧТО-ТО ЕЩЁ, В ЭТОТ РАЗ Я ПОВЕРЮ, ХАААААХАХАХА.","CUANDO ME DIJERON QUE TE QUERRÍA COMO A UN HIJO, NO LO CREÍ. PERO SI “GÖKTENGRI” DICE ALGO OTRA VEZ, ESTA VEZ SÍ LE CREO, JAAJAJAJA.","“ONU KENDİ OĞLUM GİBİ SEVECEKSİN” DEDİKLERİNDE İNANMAMIŞTIM… AMA “GÖKTENGRİ” BİR DAHA BİR ŞEY DERSE BU KEZ İNANIRIM, HAHAHAHAHA!"
"Dialog.Jurino_3_3_2",8835216723968,"来吧，暴力之子！我将面对你并完成我的使命。","COME AT ME SON OF VIOLENCE! I SHALL FACE YOU AND COMPLETE MY PART.","VIENS, FILS DE LA VIOLENCE ! JE T’AFFRONTE ET J’ACCOMPLIS MA PART.","KOMM SCHON, SOHN DER GEWALT! ICH STELLE MICH DIR UND ERFÜLLE MEINEN TEIL.","AVANTI, FIGLIO DELLA VIOLENZA! TI AFFRONTO E COMPIO LA MIA PARTE.","来いよ、“暴力の申し子”！お前と向き合い、役目を果たしてやる。","와라, 폭력의 자식아! 네 앞에 서서 내 몫을 끝내주지.","CHOĆ NO, SYNU PRZEMOCY! ZMIERZĘ SIĘ Z TOBĄ I DOKOŃCZĘ SWOJĄ ROLĘ.","VEM PRA CIMA, FILHO DA VIOLÊNCIA! VOU TE ENCARAR E CUMPRIR O QUE ME CABE.","ИДИ СЮДА, СЫН НАСИЛИЯ! Я ВСТРЕЧУ ТЕБЯ И ЗАВЕРШУ СВОЮ ЧАСТЬ.","¡VEN AQUÍ, HIJO DE LA VIOLENCIA! ME ENFRENTARÉ A TI Y CUMPLIRÉ MI PARTE.","GEL BURAYA SENİ ŞİDDETİN VELEDİ! YÜZLEŞİP PAYIMA DÜŞENİ TAMAMLAYAYIM."
"Dialog.Cengiz_3_3_2",9192433012736,"让我们结束这一切！","LET'S FINISH THIS!","ALLONS FINIR ÇA !","LASS UNS DAS BEENDEN!","FINIAMOLA!","終わらせるぞ！","끝내자!","SKOŃCZMY TO!","VAMOS ACABAR COM ISSO!","ДОВЕРШИМ ЭТО!","¡VAMOS A TERMINAR CON ESTO!","HADİ BİTİRELİM ŞUNU!"
"Dialog.Jurino_3_4_1",10126189940736,"【咳嗽数声】…你甚至不知道自己在做什么，却仍像命悬一线一样拼命战斗。接下来你要干什么？","[COUGH SEVERAL TIMES] … YOU DON'T EVEN KNOW WHAT YOU ARE DOING, AND STILL FIGHT LIKE YOUR LIFE DEPENDS ON IT. WHAT THE HELL ARE YOU GOING TO DO NEXT?","[TOUSSE PLUSIEURS FOIS] … TU SAIS MÊME PAS CE QUE TU FAIS, ET TU TE BATS COMME SI TA VIE EN DÉPENDAIT. ET MAINTENANT TU VAS FAIRE QUOI ?","[HUSTET MEHRMALS] … DU WEISST NICHT MAL, WAS DU TUST, UND KÄMPFST, ALS GINGE ES UM DEIN LEBEN. WAS ZUR HÖLLE MACHST DU ALS NÄCHSTES?","[TOSSISCE PIÙ VOLTE] … NON SAI NEANCHE COSA STAI FACENDO, E COMBATTI COME SE TI STESSE IN GIOCO LA VITA. COSA DIAVOLO FARAI ADESSO?","【ゴホッゴホッ】…自分が何してるかもわかってねぇのに、命懸けみてぇに戦いやがって。次は何するつもりだ？","[기침을 몇 번 한다] … 네가 뭘 하는지도 모르면서, 목숨 걸린 것처럼 싸우고 있네. 그다음엔 뭘 할 건데?","[KASZLE KILKA RAZY] … NIE WIESZ NAWET, CO ROBISZ, A WALCZYSZ, JAKBY OD TEGO ZALEŻAŁO TWOJE ŻYCIE. CO ZROBISZ TERAZ?","[TOSSE ALGUMAS VEZES] … VOCÊ NEM SABE O QUE TÁ FAZENDO, E AINDA LUTA COMO SE SUA VIDA DEPENDESSE DISSO. O QUE DIABOS VAI FAZER AGORA?","[КАШЛЯЕТ НЕСКОЛЬКО РАЗ] … ТЫ ДАЖЕ НЕ ПОНИМАЕШЬ, ЧТО ДЕЛАЕШЬ, А ДЕРЁШЬСЯ, КАК БУДТО ЭТО БОРЬБА ЗА ЖИЗНЬ. ЧТО, ЧЁРТ ВОЗЬМИ, ТЫ СОБИРАЕШЬСЯ ДЕЛАТЬ ДАЛЬШЕ?","[TOSER VARIAS VECES] … NI SIQUIERA SABES LO QUE HACES, PERO PELEAS COMO SI SE TE FUERA LA VIDA EN ELLO. ¿QUÉ DIABLOS HARÁS AHORA?","[BİRKAÇ KEZ ÖKSÜRÜR] … NE YAPTIĞINI BİLE BİLMİYORSUN AMA CAN PAHASINA DÖVÜŞÜYORSUN. BU DA BİTTİ, ŞİMDİ NE BOK YİYECEKSİN?"
"Dialog.Cengiz_3_4_1",10698464972800,"我会继续砸烂他们的脸，然后听天由命！","I'M GONNA KEEP BREAKING FACES AND WISH FOR THE BEST!","I’VAIS CONTINUER À LEUR CASSER LA GUEULE ET ESPÉRER QUE ÇA PASSE !","ICH MACH WEITER FRESSEN PLATT UND HOFFE AUF DAS BESTE!","CONTINUERÒ A SPACCARGLI LA FACCIA E SPERARE NEL MEGLIO!","顔面ぶっ潰し続けて、あとは運任せだ！","계속 얼굴을 박살내면서 되는 대로 가는 거지!","DALEJ BĘDĘ IM ROZPIERDALAĆ TWARZE I LICZYĆ NA NAJLEPSZE!","VOU CONTINUAR QUEBRANDO A CARA DELES E TORCER PRA DAR CERTO!","Я БУДУ ДАЛЬШЕ ЛОМАТЬ ИМ МОРДЫ И НАДЕЯТЬСЯ НА ЛУЧШЕЕ!","VOY A SEGUIR ROMPIÉNDOLES LA CARA Y ESPERAR QUE TODO SALGA BIEN.","SURATLARI DAĞITMAYA VE OLUMLAMA YAPMAYA DEVAM EDECEĞİM"
